"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","e_uid","database","con_from","con_to","projection_strength","species","notes","reference","link","con_from_abb","con_to_abb","nifid","ref_link"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=777"" class=""external"" target=""_blank"">BAMS</a>","Prelimbic area","Claustrum","moderate","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=762282"" class=""external"" target=""_blank"">Beckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp Neurol</a>","767777moderateBeckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp NeurolautoradiographyClaustrum","BAMS","Prelimbic area","Claustrum","moderate","Rat","Technique: autoradiography","Beckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=777","PL","CLA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=762282"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=540"" class=""external"" target=""_blank"">BAMS</a>","Subparaventricular zone","Precommissural nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"" class=""external"" target=""_blank"">Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev</a>","298540not presentCanteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res RevPHALPrecommissural nucleus","BAMS","Subparaventricular zone","Precommissural nucleus","not detected","Rat","Technique: PHAL","Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=540","SBPV","PRC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=592"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Cuneiform nucleus","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol</a>","112592very lightDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp NeurolPHALCuneiform nucleus","BAMS","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Cuneiform nucleus","weak","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=592","BSTdm","CUN","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=107&aff=109"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterolateral area","Bed nuclei of the stria terminalis oval nucleus","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","107109light/moderateDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALBed nuclei of the stria terminalis oval nucleus","BAMS","Bed nuclei of the stria terminalis anterolateral area","Bed nuclei of the stria terminalis oval nucleus","moderate","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=107&aff=109","BSTal","BSTov","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=399"" class=""external"" target=""_blank"">BAMS</a>","Prelimbic area","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","767399not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevFluorogoldLateral septal nucleus ventral part","BAMS","Prelimbic area","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=399","PL","LSv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=59"" class=""external"" target=""_blank"">BAMS</a>","Cortical nucleus of the amygdala posterior part medial zone","Anteromedial nucleus of thalamus ventral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","68059not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALAnteromedial nucleus of thalamus ventral part","BAMS","Cortical nucleus of the amygdala posterior part medial zone","Anteromedial nucleus of thalamus ventral part","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=59","COApm","AMv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=384&aff=35"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus rostral (rostroventral) part medial zone ventral region","Main olfactory bulb, inner plexiform layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","38435not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALMain olfactory bulb, inner plexiform layer","BAMS","Lateral septal nucleus rostral (rostroventral) part medial zone ventral region","Main olfactory bulb, inner plexiform layer","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=384&aff=35","LSr.m.v","MOBipl","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=632&aff=534"" class=""external"" target=""_blank"">BAMS</a>","Primary motor area","Substantia nigra reticular part","weak","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=2822206"" class=""external"" target=""_blank"">Reep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res Bull</a>","632534lightReep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res BullautoradiographySubstantia nigra reticular part","BAMS","Primary motor area","Substantia nigra reticular part","weak","Rat","Technique: autoradiography","Reep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res Bull","http://brancusi.usc.edu/connections/conef-det.php?eff=632&aff=534","MOp","SNr","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=2822206"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=572&aff=373"" class=""external"" target=""_blank"">BAMS</a>","Nucleus incertus diffuse part","Lateral septal nucleus caudal (caudodorsal) part ventral zone","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"" class=""external"" target=""_blank"">Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol</a>","572373moderateGoto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp NeurolPHALLateral septal nucleus caudal (caudodorsal) part ventral zone","BAMS","Nucleus incertus diffuse part","Lateral septal nucleus caudal (caudodorsal) part ventral zone","moderate","Rat","Technique: PHAL","Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=572&aff=373","NId","LSc.v","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=427"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division principal nucleus","Parageminal nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","118427not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALParageminal nucleus","BAMS","Bed nuclei of the stria terminalis posterior division principal nucleus","Parageminal nucleus","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=427","BSTpr","PBG","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
